lon,lat,alt,rel_alt,heading,time
55.4718207,10.3250211,15.731,0.074,319.0,1669364632.3658242
55.4718207,10.3250211,15.731,0.074,319.0,1669364633.3657827
55.4718207,10.3250211,15.731,0.074,319.0,1669364634.3658617
55.4718207,10.3250211,15.731,0.074,319.0,1669364635.3658304
55.4718207,10.3250211,15.731,0.074,319.0,1669364636.3658314
55.4718207,10.3250211,15.731,0.074,319.0,1669364637.3658245
55.4718207,10.3250211,15.731,0.074,319.0,1669364638.3658433
55.4718207,10.3250211,15.731,0.074,319.0,1669364639.3658535
55.4718207,10.3250211,15.731,0.074,319.0,1669364640.365817
55.4718207,10.3250211,15.731,0.074,319.0,1669364641.3658338
55.4718207,10.3250211,15.731,0.074,319.0,1669364642.3658516
55.4718207,10.3250211,15.731,0.074,319.0,1669364643.365844
55.4718207,10.3250211,15.731,0.074,319.0,1669364644.3658435
55.4718207,10.3250211,15.731,0.074,319.0,1669364645.3658361
55.4718207,10.3250211,15.731,0.074,319.0,1669364646.3658412
55.4718207,10.3250211,15.731,0.074,319.0,1669364647.365819
55.4718207,10.3250211,15.731,0.074,319.0,1669364648.365839
55.4718207,10.3250211,15.731,0.074,319.0,1669364649.365851
55.4718207,10.3250211,15.731,0.074,319.0,1669364650.3658679
55.4718207,10.3250211,15.731,0.074,319.0,1669364651.365835
55.4718207,10.3250211,15.731,0.074,319.0,1669364652.3658519
55.4718207,10.3250211,15.731,0.074,319.0,1669364653.3658686
55.4718207,10.3250211,15.731,0.074,319.0,1669364654.3657677
55.4718207,10.3250211,15.731,0.074,319.0,1669364655.3658772
55.4718207,10.3250211,15.731,0.074,319.0,1669364656.365825
55.4718207,10.3250211,15.731,0.074,319.0,1669364657.3658733
55.4718207,10.3250211,15.731,0.074,319.0,1669364658.3658323
55.4718207,10.3250211,15.731,0.074,319.0,1669364659.365903
55.4718207,10.3250211,15.731,0.074,319.0,1669364660.3658316
55.4718207,10.3250211,15.731,0.074,319.0,1669364661.3658235
55.4718207,10.3250211,15.731,0.074,319.0,1669364662.3658214
55.4718207,10.3250211,15.731,0.074,319.0,1669364663.3657236
55.4718207,10.3250211,15.731,0.074,319.0,1669364664.3658512
55.4718207,10.3250211,15.731,0.074,319.0,1669364665.3658345
55.4718207,10.3250211,15.731,0.074,319.0,1669364666.3650174
